%C3%B5igusnormid-et = deprecatedTerm-admn-sts
%C3%BChinemiseelse+struktuuripoliitika+rahastamisvahend-et = supersededTerm-admn-sts
Batrachochytrium+salamandrivorans%E2%80%99i+nakkus-et = preferredTerm-admn-sts
Euroopa+investeerimiskava-et = preferredTerm-admn-sts
Euroopa+tervisetehnoloogia+hindamise+v%C3%B5rgustik-et = preferredTerm-admn-sts
Jabhat+al-Nusrah-et = supersededTerm-admn-sts
P%C3%BCrenee+poolsaar-et = preferredTerm-admn-sts
Vogeli-Bonneri+minimaals%C3%B6%C3%B6de-et = preferredTerm-admn-sts
aineomane+mutageensus-et = preferredTerm-admn-sts
ajuripats-et = admittedTerm-admn-sts
anogenitaalne+kaugus-et = preferredTerm-admn-sts
autosampler-et = admittedTerm-admn-sts
direktoraat+2+%E2%80%93+protokoll%2C+konverentsid%2C+hooned+ja+logistika-et = supersededTerm-admn-sts
ebaseadusliku+sisser%C3%A4nde+v%C3%B5rgustik-et = preferredTerm-admn-sts
elatis-et = preferredTerm-admn-sts
erikaal-et = supersededTerm-admn-sts
et%C3%BC%C3%BCltselluloos-et = preferredTerm-admn-sts
folliikul-et = deprecatedTerm-admn-sts
fusioonproteiin-et = admittedTerm-admn-sts
inimtervishoius+kasutatavate+ravimite+alaline+komitee-et = deprecatedTerm-admn-sts
j%C3%A4%C3%A4tmep%C3%B5letusseade-et = preferredTerm-admn-sts
k%C3%B5vakest-et = preferredTerm-admn-sts
kaalanal%C3%BC%C3%BCs-et = preferredTerm-admn-sts
kasvaja+spontaanse+tekkimise+kiirus-et = deprecatedTerm-admn-sts
kaudne+krediidiriski+positsioon-et = preferredTerm-admn-sts
keskkonnaohutu+j%C3%A4%C3%A4tmehooldus-et = deprecatedTerm-admn-sts
keskmine+eeldatav+eluiga+s%C3%BCnnimomendil-et = admittedTerm-admn-sts
keskmine+t%C3%B5rkev%C3%A4lp-et = admittedTerm-admn-sts
kiirgusspekter-et = preferredTerm-admn-sts
kindlustuse+m%C3%BC%C3%BCja-et = supersededTerm-admn-sts
klorofluoros%C3%BCsinikud-et = deprecatedTerm-admn-sts
konverteeritav+v%C3%B5lakiri-et = supersededTerm-admn-sts
korrigeeritud+maksej%C3%B5ulisuse+n%C3%B5ue-et = deprecatedTerm-admn-sts
krediidiriski+%C3%BClekandetehingut+sisaldav+v%C3%B5lakiri-et = supersededTerm-admn-sts
kriminaalmenetlus%C3%B5igus-et = preferredTerm-admn-sts
laatunud+er%C3%BCteem-et = preferredTerm-admn-sts
laboritevaheline+reprodutseeritavus-et = deprecatedTerm-admn-sts
lihaskond-et = admittedTerm-admn-sts
loomne+toit-et = preferredTerm-admn-sts
maandumispind-et = preferredTerm-admn-sts
magnetpolarisatsioon-et = preferredTerm-admn-sts
majandussurutis-et = preferredTerm-admn-sts
meeskonnat%C3%B6%C3%B6+korraldamine-et = preferredTerm-admn-sts
mootorlengerdus-et = preferredTerm-admn-sts
mudeliaasta-et = preferredTerm-admn-sts
n%C3%B5uded+avaliku+sektori+asutuste+vastu-et = preferredTerm-admn-sts
nanokristalne+r%C3%A4ni-et = preferredTerm-admn-sts
neutrofiil-et = preferredTerm-admn-sts
oovum-et = supersededTerm-admn-sts
oskuste+aegumine-et = preferredTerm-admn-sts
p%C3%A4eva+l%C3%B5pu+riskipositsioon-et = preferredTerm-admn-sts
p%C3%A4ritoluriigi+teave-et = preferredTerm-admn-sts
p%C3%B6%C3%B6rdmutatsioon-et = preferredTerm-admn-sts
pagulasena+tunnustamata+j%C3%A4tmine-et = admittedTerm-admn-sts
pangaportfelli+vastaspoole+krediidiriski+omavahendite+n%C3%B5ue-et = preferredTerm-admn-sts
pangat%C3%A4ht-et = preferredTerm-admn-sts
pankade+maksev%C3%B5ime+taastamise+ja+solveerimise+direktiiv-et = supersededTerm-admn-sts
pehme+kude-et = deprecatedTerm-admn-sts
pehmekude-et = deprecatedTerm-admn-sts
pimelahus-et = admittedTerm-admn-sts
pingemuundur-et = preferredTerm-admn-sts
pneumokokkidevastane+pol%C3%BCsahhariidvaktsiin-et = preferredTerm-admn-sts
pupillireaktsioon-et = preferredTerm-admn-sts
rahvatervise+ohutus-et = deprecatedTerm-admn-sts
retranslatsiooniaeg-et = supersededTerm-admn-sts
s%C3%B6%C3%B6dakarp-et = admittedTerm-admn-sts
s%C3%BCstemaatiline+riskitegur-et = supersededTerm-admn-sts
somatomotoorne+tegevus-et = deprecatedTerm-admn-sts
sotsiaalne+ettev%C3%B5tlus-et = supersededTerm-admn-sts
spermide+liikuvus-et = preferredTerm-admn-sts
statistika+tegemine-et = preferredTerm-admn-sts
struktuuriline+samalaadsus-et = deprecatedTerm-admn-sts
taastumism%C3%A4%C3%A4r-et = supersededTerm-admn-sts
tehno%C3%BClevaatus-et = preferredTerm-admn-sts
tekiehitis-et = preferredTerm-admn-sts
toodetevaheline+tasaarveldus-et = deprecatedTerm-admn-sts
tuberoosne+skleroos-et = preferredTerm-admn-sts
v%C3%A4rvaine+sidumisel+p%C3%B5hinev+meetod-et = admittedTerm-admn-sts
v%C3%B5%C3%B5r%C3%BChend-et = admittedTerm-admn-sts
v%C3%B5imsussuhe-et = preferredTerm-admn-sts
v%C3%B6%C3%B6r-et = preferredTerm-admn-sts
viisade+keskinfos%C3%BCsteem-et = deprecatedTerm-admn-sts
%5Bbilansis+ja+kasumiaruandes%5D+kajastatud+summad-et = supersededTerm-admn-sts
%C3%B5huettekanne-et = admittedTerm-admn-sts
%C3%B5hutakistus-et = preferredTerm-admn-sts
%C3%BChe+p%C3%B5lvkonna+reproduktsioonitoksilisuse+uuring-et = deprecatedTerm-admn-sts
%C3%BClemaailmne+r%C3%A4nde-ja+arengupoliitika+foorum-et = admittedTerm-admn-sts
%CE%BC-opioidretseptor-et = preferredTerm-admn-sts
ELi+demokraatia%2C+%C3%B5igusriigi+ja+p%C3%B5hi%C3%B5iguste+mehhanism-et = preferredTerm-admn-sts
Euroopa+Inim%C3%B5iguste+Komisjon-et = supersededTerm-admn-sts
Euroopa+seadus-et = supersededTerm-admn-sts
Freundi+adjuvant-et = deprecatedTerm-admn-sts
Grotthu%C3%9Fi-Draperi+saedus-et = admittedTerm-admn-sts
Pyongyang-et = preferredTerm-admn-sts
SKT-et = supersededTerm-admn-sts
aastaaruanne-et = preferredTerm-admn-sts
ahtrituli-et = preferredTerm-admn-sts
andmekanaliga+VOLMET-et = deprecatedTerm-admn-sts
bakterioloogiliste+%28bioloogiliste%29+ja+toksiliste+relvade+v%C3%A4ljat%C3%B6%C3%B6tamise%2C+tootmise+ja+ladustamise+keelustamise+ning+nende+h%C3%A4vitamise+konventsiooni+osalisriikide+l%C3%A4bivaatamiskonverents-et = preferredTerm-admn-sts
direktoraat+4+%E2%80%93+institutsioonilised+k%C3%BCsimused%2C+eelarve+ja+personalieeskirjad-et = supersededTerm-admn-sts
diskrimineerimise+ennetamise+ja+v%C3%A4hemuste+kaitse+allkomisjon-et = supersededTerm-admn-sts
elueerima-et = preferredTerm-admn-sts
endokriins%C3%BCsteemi+kahjustaja-et = deprecatedTerm-admn-sts
endokriinse+toimega+kemikaal-et = preferredTerm-admn-sts
f%C3%BCsioloogiline+lahus-et = preferredTerm-admn-sts
fotokeemia+I+seadus-et = preferredTerm-admn-sts
hariduse+ja+kultuuri+peadirektoraat-et = supersededTerm-admn-sts
kahese+kasutusega+kaupade+t%C3%B6%C3%B6r%C3%BChm-et = deprecatedTerm-admn-sts
kallutusreguleerimine-et = preferredTerm-admn-sts
kandevsageduse-m%C3%BCra+suhe-et = preferredTerm-admn-sts
karbamiid-et = deprecatedTerm-admn-sts
karbapeneem-et = preferredTerm-admn-sts
katioonne+v%C3%A4rvaine-et = preferredTerm-admn-sts
katkemine+ja+taas%C3%BChinemine-et = preferredTerm-admn-sts
kauplemisportfelliv%C3%A4line+krediidirisk-et = deprecatedTerm-admn-sts
kesktorakaalosa-et = admittedTerm-admn-sts
kestlik+areng-et = preferredTerm-admn-sts
kliimat+ja+keskkonda+s%C3%A4%C3%A4stvad+p%C3%B5llumajandustavad-et = preferredTerm-admn-sts
kodune+p%C3%A4ikeseenergias%C3%BCsteem-et = preferredTerm-admn-sts
lennuaeg-et = preferredTerm-admn-sts
lennuv%C3%A4li-et = deprecatedTerm-admn-sts
liidu+v%C3%A4listegevuse+p%C3%B5him%C3%B5tte%C3%BChtsus-et = preferredTerm-admn-sts
maavaatluss%C3%BCsteemide+%C3%BClemaailmne+s%C3%BCsteem-et = supersededTerm-admn-sts
magneth%C3%A4lve-et = deprecatedTerm-admn-sts
majanduslik+vastupanuv%C3%B5ime+ja+taastuvus-et = preferredTerm-admn-sts
makromajanduslik+tasakaalustamatus-et = preferredTerm-admn-sts
munarakk-et = preferredTerm-admn-sts
naiste+suguorganite+moonutamine-et = admittedTerm-admn-sts
normaalv%C3%A4%C3%A4rtus-et = admittedTerm-admn-sts
oskuste+mittevastavus+t%C3%B6%C3%B6turu+vajadustele-et = preferredTerm-admn-sts
p%C3%B5hilahus-et = preferredTerm-admn-sts
peadirektoraat+B+%E2%80%93+p%C3%B5llumajandus+ja+kalandus-et = supersededTerm-admn-sts
pilvede+k%C3%B5rgus-et = preferredTerm-admn-sts
prop%C3%BCleengl%C3%BCkoolalginaat-et = preferredTerm-admn-sts
protokoll+Euroopa+%C3%9Chenduse+asutamislepingu+artikli+14+teatavate+aspektide+kohaldamise+kohta+%C3%9Chendkuningriigi+ja+Iirimaa+suhtes-et = supersededTerm-admn-sts
punane+sapiv%C3%A4rvnik-et = supersededTerm-admn-sts
rahastamisk%C3%B5lblikud+avaliku+sektori+kulud-et = preferredTerm-admn-sts
reversioonprotseduur-et = preferredTerm-admn-sts
riskipositsioonide+kogum-et = preferredTerm-admn-sts
s%C3%B6%C3%B6damaja-et = preferredTerm-admn-sts
siirutaja-et = preferredTerm-admn-sts
siseasjade+peadirektoraat-et = supersededTerm-admn-sts
siseriskiprofiil-et = deprecatedTerm-admn-sts
sisesekretsioonis%C3%BCsteemi+kahjustaja-et = deprecatedTerm-admn-sts
spermatosoidide+morfoloogia-et = admittedTerm-admn-sts
summaarne+k%C3%B5rgusviga-et = preferredTerm-admn-sts
tasaarvestus-et = preferredTerm-admn-sts
tundlikkush%C3%A4ire-et = preferredTerm-admn-sts
usaldatavusn%C3%B5uete+t%C3%A4itmise+j%C3%A4relevalve-et = preferredTerm-admn-sts
valgeliblede+arv-et = deprecatedTerm-admn-sts
valitsemissektori+eelarve%C3%BClej%C3%A4%C3%A4k-et = preferredTerm-admn-sts
viisan%C3%B5udest+loobumine-et = preferredTerm-admn-sts
%C3%A4ge+suukaudne+m%C3%BCrgisus-et = admittedTerm-admn-sts
%C3%B5iglane+kaubandus-et = preferredTerm-admn-sts
%C3%B6koinnovatsioon-et = preferredTerm-admn-sts
%C3%BChendusev%C3%A4line+kaup-et = supersededTerm-admn-sts
%C3%BCksikvanemaga+pere-et = deprecatedTerm-admn-sts
ARP-et = deprecatedTerm-admn-sts
Brucella+abortus%E2%80%99e%2C+B.+melitensis%E2%80%99e+v%C3%B5i+B.+suis%E2%80%99i+nakkus-et = preferredTerm-admn-sts
Donbass-et = preferredTerm-admn-sts
Euroopa+%C3%9Chenduste+Komisjon-et = supersededTerm-admn-sts
Euroopa+%C3%BChenduste+integreeritud+tariifistik-et = preferredTerm-admn-sts
Euroopa+p%C3%A4ritolu+krediidiriski+vahetustehingud-et = deprecatedTerm-admn-sts
Euroopa+teadusruumi+komitee-et = supersededTerm-admn-sts
S-re%C5%BEiimi+mitmiklukustuse+protokolls%C3%B5num-et = preferredTerm-admn-sts
