%C4%AF+%C5%A1al%C4%AF+laikinai+dirbti+atsi%C5%B3stas+u%C5%BEsienietis%2C+kurio+nuolatin%C4%97+darbo+vieta+yra+u%C5%BEsienyje-lt = admittedTerm-admn-sts
%C4%AFgaliojimai+atlikti+patikrinimus-lt = admittedTerm-admn-sts
%C5%A1%C4%97riuotasis+vainik%C5%ABnas-lt = deprecatedTerm-admn-sts
DNR+ekstrakcija-lt = admittedTerm-admn-sts
ES+auk%C5%A1tojo+mokslo+tarptautinimo+strategija-lt = preferredTerm-admn-sts
Ekonomikos+ir+socialini%C5%B3+reikal%C5%B3+komitetas-lt = supersededTerm-admn-sts
Europos+branduolin%C4%97s+energijos+agent%C5%ABra-lt = supersededTerm-admn-sts
Europos+pasaulin%C4%97s+navigacijos+palydov%C5%B3+sistemos+prie%C5%BEi%C5%ABros+institucija-lt = supersededTerm-admn-sts
Finansini%C5%B3+paslaug%C5%B3+darbo+grup%C4%97+%28pinig%C5%B3+plovimas%29-lt = supersededTerm-admn-sts
Jungtin%C4%97s+Karalyst%C4%97s+imigrant%C5%B3+konsultavimo+tarnyba-lt = supersededTerm-admn-sts
Piet%C5%B3+vandenynas-lt = preferredTerm-admn-sts
TVR+klausim%C5%B3+i%C5%A1or%C4%97s+aspekto+ad+hoc+paramos+grup%C4%97-lt = supersededTerm-admn-sts
a%C5%A1in%C4%97+apkrova-lt = deprecatedTerm-admn-sts
afrikin%C4%97+ieva-lt = preferredTerm-admn-sts
apklausos+atlik%C4%97jas-lt = preferredTerm-admn-sts
at%C5%A1vaitas-lt = preferredTerm-admn-sts
auginimo+terp%C4%97-lt = preferredTerm-admn-sts
bendrasis+anglies+kiekis-lt = preferredTerm-admn-sts
buferizuotas+brucel%C5%B3+antigeno+tyrimas-lt = deprecatedTerm-admn-sts
deoksiduotas+plienas-lt = deprecatedTerm-admn-sts
did%C5%BEiausias+dr%C4%97gnumas-lt = deprecatedTerm-admn-sts
diskriminacija+d%C4%97l+lyties-lt = preferredTerm-admn-sts
ekchimoz%C4%97-lt = admittedTerm-admn-sts
faksas-lt = admittedTerm-admn-sts
grup%C4%97s+veterinaras-lt = admittedTerm-admn-sts
gulst%C4%97-lt = admittedTerm-admn-sts
gyv%C5%ABno+identifikavimas-lt = admittedTerm-admn-sts
intensyvusis+ganymas-lt = preferredTerm-admn-sts
komercin%C4%97+paslaptis-lt = admittedTerm-admn-sts
kompetencijos+tinklas-lt = preferredTerm-admn-sts
pa%C5%BEeidimo+paveiktas+PSO-lt = deprecatedTerm-admn-sts
pakankamas+u%C5%BEtikrinimas-lt = preferredTerm-admn-sts
poveikio+faktorius-lt = preferredTerm-admn-sts
precipitacijos+linija-lt = admittedTerm-admn-sts
priemok%C5%B3+sistema-lt = preferredTerm-admn-sts
readmisijos+parai%C5%A1ka-lt = admittedTerm-admn-sts
rujojanti+kiaul%C4%97-lt = admittedTerm-admn-sts
si%C5%ABlymas+%C4%AFstoti+%C4%AF+byl%C4%85-lt = supersededTerm-admn-sts
smail%C4%97-lt = preferredTerm-admn-sts
sternbergijos-lt = supersededTerm-admn-sts
sutelktasis+tar%C5%A1os+%C5%A1altinis-lt = deprecatedTerm-admn-sts
tiesiogin%C4%97+visuotin%C4%97+balsavimo+teis%C4%97-lt = deprecatedTerm-admn-sts
u%C5%BE+%C5%A1vietim%C4%85%2C+kult%C5%ABr%C4%85%2C+daugiakalbyst%C4%99+ir+jaunim%C4%85+atsakingas+Komisijos+narys-lt = supersededTerm-admn-sts
verslo+paslaptis-lt = preferredTerm-admn-sts
vidaus+vanden%C5%B3+keli%C5%B3+eismas-lt = preferredTerm-admn-sts
vyniojimas-lt = preferredTerm-admn-sts
EACI-lt = supersededTerm-admn-sts
Europos+Bendrij%C5%B3+oficiali%C5%B3j%C5%B3+leidini%C5%B3+biuras-lt = supersededTerm-admn-sts
Europos+mokslini%C5%B3+tyrim%C5%B3+erdv%C4%97s+komitetas-lt = supersededTerm-admn-sts
Europos+region%C5%B3+taryba-lt = supersededTerm-admn-sts
ISOFIX+vieta-lt = deprecatedTerm-admn-sts
Konkurencingumo+ir+inovacij%C5%B3+vykdomoji+%C4%AFstaiga-lt = supersededTerm-admn-sts
aki%C5%B3+dirginimo+skal%C4%97-lt = preferredTerm-admn-sts
alyvuogi%C5%B3+derlingumas-lt = preferredTerm-admn-sts
ankstesn%C4%97+kult%C5%ABra-lt = preferredTerm-admn-sts
apra%C5%A1inis+vaistas-lt = preferredTerm-admn-sts
atrankusis+regeneravimas-lt = preferredTerm-admn-sts
atsargin%C4%97+stab%C5%BEi%C5%B3+sistema-lt = preferredTerm-admn-sts
bendradarbiavimo+ir+patikros+mechanizmas-lt = deprecatedTerm-admn-sts
bendroji+priemon%C4%97+d%C4%97l+mi%C5%A1kininkyst%C4%97s+tam+tikrose+Bendrijos+teritorijoje+esan%C4%8Diose+Vidur%C5%BEemio+j%C5%ABros+zonose-lt = deprecatedTerm-admn-sts
biologinis+vaistinis+preparatas-lt = admittedTerm-admn-sts
brokuotas+gyv%C5%ABnas-lt = deprecatedTerm-admn-sts
ciklinis+AMP-lt = preferredTerm-admn-sts
da%C5%BEin%C4%97+ciber%C5%BEol%C4%97-lt = preferredTerm-admn-sts
ekvivalenti%C5%A1kumo+koeficientas-lt = admittedTerm-admn-sts
elektros+%C5%A1okas-lt = admittedTerm-admn-sts
emulgatorius-lt = preferredTerm-admn-sts
